,links
108,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7629358', 'url': 'https://www.imdb.com/title/tt7629358', 'tcourl': 'https://t.co/QGG7BWdnRE', 'indices': [52, 75]}]"
109,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt196558…', 'url': 'https://www.imdb.com/title/tt19655882', 'tcourl': 'https://t.co/u0XKTmYcA7', 'indices': [126, 149]}]"
110,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt196559…', 'url': 'https://www.imdb.com/title/tt19655944', 'tcourl': 'https://t.co/BLZ5O4LKZR', 'indices': [129, 152]}]"
111,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3717532', 'url': 'https://www.imdb.com/title/tt3717532', 'tcourl': 'https://t.co/5b067n3NAG', 'indices': [53, 76]}]"
112,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6718170', 'url': 'https://www.imdb.com/title/tt6718170', 'tcourl': 'https://t.co/cgqhtqhdzA', 'indices': [54, 77]}]"
113,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt271420…', 'url': 'https://www.imdb.com/title/tt27142031', 'tcourl': 'https://t.co/Qdbrhcx8hB', 'indices': [77, 100]}]"
114,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt154231…', 'url': 'https://www.imdb.com/title/tt15423196', 'tcourl': 'https://t.co/T9rtoKJzlY', 'indices': [66, 89]}]"
115,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt154749…', 'url': 'https://www.imdb.com/title/tt15474916', 'tcourl': 'https://t.co/Kdo1tXEZ45', 'indices': [33, 56]}]"
116,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8760708', 'url': 'https://www.imdb.com/title/tt8760708', 'tcourl': 'https://t.co/ZooZKXXG6v', 'indices': [32, 55]}]"
117,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7512304', 'url': 'https://www.imdb.com/title/tt7512304', 'tcourl': 'https://t.co/S5KVe3BAoJ', 'indices': [54, 77]}]"
118,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt211970…', 'url': 'https://www.imdb.com/title/tt21197084', 'tcourl': 'https://t.co/M8UIHStQEe', 'indices': [46, 69]}]"
119,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0112697', 'url': 'https://www.imdb.com/title/tt0112697', 'tcourl': 'https://t.co/paHojessh6', 'indices': [37, 60]}]"
120,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt133750…', 'url': 'https://www.imdb.com/title/tt13375076', 'tcourl': 'https://t.co/MDqXw1sdMM', 'indices': [46, 69]}]"
121,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0831387', 'url': 'https://www.imdb.com/title/tt0831387', 'tcourl': 'https://t.co/ADKEffO1uP', 'indices': [116, 139]}]"
122,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6710474', 'url': 'https://www.imdb.com/title/tt6710474', 'tcourl': 'https://t.co/AJjblSBfTs', 'indices': [60, 83]}]"
123,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt122617…', 'url': 'https://www.imdb.com/title/tt12261776', 'tcourl': 'https://t.co/xjrCGo9XH4', 'indices': [30, 53]}]"
